company Name,Question
WholeFoodsMarket, How do you give about giving a presentation without preparation or knowledge of the subject? 
PwC, How would you deal with a stakeholder who was insisting that a complex process would be the ideal solution to an existing problem?
CapitalOne," You own a Beach souvenier shop that sells primarily 4 items. Calculate Profit per month. What are some issues you could forsee in your revenue streams? After additional information is given, calculate seasonal income."
AIG, How has your previous experience prepared you for a role like this?
TEConnectivity, How would you perform an application upgrade?
AuroraLoanServices, What is the difference between a functional requirement and a system requirement?
NestléUSA," Explain/define ""Weighted Average""."
Wayfair," 50,000 shoppers with a 0.5% conversion rate for a chair that costs $250. Wayfair makes a 27% profit. Next, 50,000 shoppers will get a 10% discount. What is the conversion rate they must achieve to achieve the same profits as before?"
Accenture, Describe the different parts of an SQL statement
WorldWideTechnology, Whats the difference between inner join and outer join?
IntellectualVentures, What would you do if you were told to just reproduce an existing report for requirements? 
CapitalOne, Tell me a time when you had to influence clients to follow a different course of action.
J.P.Morgan, How do you manage project timelines with change requests?
PerformanceSportsGroup," In a chaotic environment, how would you manage multiple deliverables?"
CaidanManagementCompany," It wasn't really difficult. If you know the cookie cutter questions, you can easily walk through this interview. I have added a question when I interview people: What is your passion when it comes to business analysis? Why do you want to be one?"
UnitedHealthGroup, What are the 6 types of cost savings
Domino's, How do you know when you have enough documentation?
Google," 25 horses, 5 race tracks. How many races you have to run to select top 5 horses."
CapitalOne," You have 3000 bananas at point A, which is 1000 feet removed from point B. You must move as many bananas to point B, but you can only carry 1000 bananas at any time, and traveling 1 feet requires you to eat 1 banana. You can drop off bananas at any point between A and B, and pick them up later. "
CapitalOne," Let's say we're playing Russian roulette. The revolver has SIX barrels, THREE of which contain bullets. I give you two options: A. Spin, shoot. Spin, shoot. Spin, shoot. (For a total of three times). B. Spin once and pull the trigger twice. Which option would you pick and why?"
WellsFargo, Suppose you are the BA and the technical manager does not agree with you on the solution. He wants to build a Java application instead of using SharePoint. So how you go about talking to him?
Deloitte, A company has acquired many other companies resulting in multiple transaction and report generating systems and technologies within the main company resulting in a $10 million maintenance bill. As a consultant how would you integrate all the technologies and reduce the maintenance costs.
Accenture," ""You are a head chef at a restaurant and your team has been selected to be on Iron Chef. How do you prepare your team for the competition and how do you leverage the competition for your restaurant?"""
Deloitte, Behavioral: what is the similarity between a milk carton and a plane seat 
