company Name,Question
Yammer," You are compiling a report for user content uploaded every month and notice a spike in uploads in October. In particular, a spike in picture uploads. What might you think is the cause of this, and how would you test it?"
Apple," How do you take millions of users with 100's of transactions each, amongst 10k's of products and group the users together in a meaningful segments?"
LinkedIn, Find the second largest element in a Binary Search Tree
Netflix, How would you build and test a metric to compare two user's ranked lists of movie/tv show preferences?
Glassdoor," How would you test if survey responses were filled at random by certain individuals, as opposed to truthful selections?"
Amazon, The three data structure questions are: 1. the difference between linked list and array; 2. the difference between stack and queue; 3. describe hash table.
Facebook," You're about to get on a plane to Seattle. You want to know if you should bring an umbrella. You call 3 random friends of yours who live there and ask each independently if it's raining. Each of your friends has a 2/3 chance of telling you the truth and a 1/3 chance of messing with you by lying. All 3 friends tell you that ""Yes"" it is raining. What is the probability that it's actually raining in Seattle?"
Apple, Are you smart?
Facebook, Common statistical and python related questions. 1) How do you proof that males are on average taller than females by knowing just gender or height. 2) What is a monkey patch 3) How do you get the count of each letter in a sentence
Facebook, Write a function that takes in two sorted lists and outputs a sorted list that is their union.
LinkedIn, generating a sorted vector from two sorted vectors. 
Square, How do you test whether a new credit risk scoring model works? What data would you look at?
FractalAnalytics, The interviewer asked details about k-means clustering
FractalAnalytics, The hacker rank challenge had questions about basic python/pandas skills. 
zulily, What is A/B testing
Zenefits, Bayes' Formular: Marbles: There are 30 red marbles and 10 black marbles in Urn #1. You have 20 red and 20 Black marbles in Urn 2. Randomly you pull a marble from the random urn and find that it is red. What is the probability that it was pulled from Urn #1
Zenefits," Two random cards numbered from 1,2...100 are pulled from the deck. What is the probability that one number doubles the other from the deck. "
Zenefits," Alice and Bob take turns in rolling a fair dice. Whoever gets ""6"" first wins the game. Alice starts the game. What are the chances that Alice wins. "
StoryCloud, How would you sort a billion integers? Merge sort algorithm Palindrome test using recursion. Statistics: A/B testing process
Zenefits, 1). What are two prime numbers that SUM to 999
Netflix, How do you know if one algorithm is better than other?
Entelo," I was given a Data set which had id, position_id and resume_title. I had some junk data , which needs to cleaned up and they expect you to do it onsite while two people watch you doing it. Felt like a ridiculous interview ( people watching you ) what you type , if you google for a command or not. I felt that they are not smart people thats why their interview process is like that. I wouldn't work there ever. "
BloomReach," How do you find out trending queries/topics? How do you test a website feature i.e. given a set of webpages and few changes, how will you find out that the change works positively?"
Lyft, As a part of a bigger question: &#034;How do you draw a uniform random sample from a circle in polar coordinates?&#034;
NealAnalytics, Tell me about a previous project
Spotify," given n samples from a uniform distribution [0, d], how to estimate d?"
Groupon," I signed an NDA, so I can't give much details, but one interviewer asked me a very open ended question that involved how I would create/design/implement a certain algorithm from start to end."
Uber, What are the assumptions of linear regression?
Uber, What is stationary signal?
UniversityofWashington, Would you be comfortable just being a programmer?
UniversityofWashington, Are you comfortable with this level of pay cut?
TheHomeDepot," Machine learning, NLP and deep learning (since my resume is full of DL)"
CCRi, Explain Python.
SparkCognition," academic-like questions where you could just look up the answer. just memorize a thing or two about the basic algos like neural nets, random forests, svm, linear regression. that satisfies their data scientists."
VisaInc., For Stage 1: I was asked to write a code for a Fibonacci sequence. 
Factual," Given a set of specifications, make a program that would find if a given list of words was in a provided grid of letters"
Counsyl, When is a good day for you to start that coding challenge?
Facebook," Write C++ code to copy a graph, once done whats the algorithmical complexity of this"
Amtrak," None of the questions should be unexpected. The are all difficult in a sense because they are canned questions meant for general interviews rather than this specific interview. An example is ""What is your biggest weakenss"""
FinoConsulting, Why is data important? (or something along those lines; I'd call this an unexpected question)
Ancestry, Coding round: Java String manipulation. DM/ML questions: a few about ensemble methods. A few about various classifiers and my knowledge about how and where to use various techniques 3rd coding: Solving a maze. Finding shortest path.
CapitalOne, Dynamic programming/backward induction on a multi-stage decision making problem
Guavus, Big data related question. Hadoop system. Top K record selection. External merge sort. Very basic JAVA questions: anonymous class. Implement some function. 
Oracle, Do you know anyone who might fit the role? You may be overqualified so I need to know what is your salary expectation?
Rakuten," How to handle big, sparse data set."
OpexAnalytics," 3 rounds of interviews. One behavior phone screen, one technical phone screen, one 8hr programming test that actually can take 30 hours if you do a good job. "
MapRTechnologies, Salary expectations
LinkedIn, Talk about a product that you wanna build at linkedin
Indeed," I won't divulge the custom questions they had because of an NDA. But I will divulge the interview questions that are carbon copy menial tasks. Of the first three phone/live-coding interviews, I was asked to do a merge sort. I guess I understand that they want to make sure I can code. But there's got to be a better problem. The many in-person interviews were (1) 1.5 hour coding-by-myself on a laptop, (2) describe a problem you worked on in detail, (3) ""NLP"" interview that didn't focus on NLP, instead they focused on AB testing (which is fine), (4) Lunch interview, (5) culture fit interview, (6) follow up/close/discussion interview. To be honest, I don't remember much near the end. I think I went directly home after and slept for 12 hours."
PaloAltoNetworks," 1. What's the relationship between PCA and k-means clustering? 2. What are the requirements for a matrix to represent a kernel? What happens if we run SVM using a 'kernel' that does not satisfy these requirements? 3. Problems using Python lists and dictionaries 4. SQL joins, aggregates (count, sum, avg), and cases 5. If you were given a dataset with [X] features (may be numerical, categorial, etc.) and you want to build a model (to determine fraudulent transactions, say), how would you determine which features are best to use in the model?"
Redfin, What do you know about Redfin?.. basically they did not ask any questions about the sales or transaction process. It was a joke. Very unfriendly and the interviewer would repeat what I replied under her breath rolling her eyes. NO THANK YOU!! Was very disheartening since I like the model and the brand. I do not care about that company now. GOOD LUCK! 
